Date & Time,Battery Voltage(V),Right Current (A),Left Current (A),Status Message
29/03/2019 19:19:24,-2.69,-2.93,23.98,WARNING = Controller is resseting. Expect abnormal behaviour.
29/03/2019 19:19:34,0.00,0.00,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:19:35,0.00,2.69,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:19:36,0.00,0.00,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:19:38,0.00,0.24,25.42,STATUS = Data Mapped Succesfully
29/03/2019 19:19:39,0.00,2.93,25.27,STATUS = Data Mapped Succesfully
29/03/2019 19:19:41,0.00,2.93,25.45,STATUS = Data Mapped Succesfully
29/03/2019 19:19:42,0.00,0.24,25.51,STATUS = Data Mapped Succesfully
29/03/2019 19:19:44,0.00,0.24,25.36,STATUS = Data Mapped Succesfully
29/03/2019 19:19:45,0.00,0.00,25.42,STATUS = Data Mapped Succesfully
29/03/2019 19:19:47,0.00,2.93,25.36,STATUS = Data Mapped Succesfully
29/03/2019 19:19:48,0.00,0.00,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:19:50,0.00,0.24,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:19:51,0.00,0.24,25.24,STATUS = Data Mapped Succesfully
29/03/2019 19:19:52,0.00,0.24,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:19:54,0.00,0.49,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:19:55,0.00,0.00,25.27,STATUS = Data Mapped Succesfully
29/03/2019 19:19:57,0.00,0.00,25.27,STATUS = Data Mapped Succesfully
29/03/2019 19:19:58,0.00,0.24,25.42,STATUS = Data Mapped Succesfully
29/03/2019 19:20:00,0.00,2.69,25.36,STATUS = Data Mapped Succesfully
29/03/2019 19:20:01,0.00,2.69,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:02,0.00,0.00,25.27,STATUS = Data Mapped Succesfully
29/03/2019 19:20:04,0.00,1.71,25.27,STATUS = Data Mapped Succesfully
29/03/2019 19:20:05,0.00,0.00,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:07,0.00,0.00,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:08,0.00,2.93,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:09,0.00,2.93,25.42,STATUS = Data Mapped Succesfully
29/03/2019 19:20:11,0.00,0.49,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:20:12,0.00,0.00,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:14,0.00,0.00,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:15,0.00,2.69,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:17,0.00,2.69,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:18,0.00,0.24,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:20,0.00,0.00,25.36,STATUS = Data Mapped Succesfully
29/03/2019 19:20:21,0.00,0.24,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:23,0.00,0.24,25.24,STATUS = Data Mapped Succesfully
29/03/2019 19:20:24,0.00,0.24,25.42,STATUS = Data Mapped Succesfully
29/03/2019 19:20:26,0.00,0.00,25.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:27,0.00,0.24,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:20:28,0.00,2.69,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:30,0.00,0.00,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:31,0.00,2.44,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:20:33,0.00,2.93,25.36,STATUS = Data Mapped Succesfully
29/03/2019 19:20:34,0.00,0.24,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:20:36,0.00,0.24,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:37,0.00,0.24,25.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:39,0.00,2.69,25.39,STATUS = Data Mapped Succesfully
29/03/2019 19:20:41,0.73,1.96,24.39,STATUS = Data Mapped Succesfully
29/03/2019 19:20:43,1.22,2.20,24.39,STATUS = Data Mapped Succesfully
29/03/2019 19:20:44,1.22,1.71,24.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:46,0.98,1.96,24.48,STATUS = Data Mapped Succesfully
29/03/2019 19:20:47,1.22,1.96,24.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:48,0.98,1.96,24.42,STATUS = Data Mapped Succesfully
29/03/2019 19:20:50,1.22,1.96,24.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:51,1.71,2.44,24.45,STATUS = Data Mapped Succesfully
29/03/2019 19:20:53,0.98,1.96,24.24,STATUS = Data Mapped Succesfully
29/03/2019 19:20:54,1.22,1.96,24.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:55,1.22,2.20,24.30,STATUS = Data Mapped Succesfully
29/03/2019 19:20:57,1.47,1.96,24.36,STATUS = Data Mapped Succesfully
29/03/2019 19:20:58,1.22,1.96,24.33,STATUS = Data Mapped Succesfully
29/03/2019 19:20:59,0.98,1.96,24.27,STATUS = Data Mapped Succesfully
29/03/2019 19:21:01,1.22,2.20,24.33,STATUS = Data Mapped Succesfully
29/03/2019 19:21:02,0.98,2.20,24.39,STATUS = Data Mapped Succesfully
29/03/2019 19:21:03,1.22,1.96,24.42,STATUS = Data Mapped Succesfully
29/03/2019 19:21:05,0.49,0.98,24.24,STATUS = Data Mapped 
29/03/2019 19:21:05,Succesfully
29/03/2019 19:21:06,8.31,2.20,24.30,STATUS = Data Mapped Succesfully
29/03/2019 19:21:07,14.42,0.00,24.36,STATUS = Data Mapped Succesfully
29/03/2019 19:21:09,10.75,2.20,24.27,STATUS = Data Mapped Succesfully
29/03/2019 19:21:10,0.49,2.20,24.16,STATUS = Data Mapped Succesfully
29/03/2019 19:21:11,0.73,2.20,24.22,STATUS = Data Mapped Succesfully
29/03/2019 19:21:13,0.98,1.96,24.24,STATUS = Data Mapped Succesfully
29/03/2019 19:21:14,1.22,2.20,24.51,STATUS = Data Mapped Succesfully
29/03/2019 19:21:15,1.22,1.71,24.39,STATUS = Data Mapped Succesfully
29/03/2019 19:21:17,1.22,1.47,24.27,STATUS = Data Mapped Succesfully
29/03/2019 19:21:18,1.22,1.71,24.33,STATUS = Data Mapped Succesfully
29/03/2019 19:21:19,0.24,13.93,24.27,STATUS = Data Mapped Succesfully
29/03/2019 19:21:21,13.93,6.11,24.16,STATUS = Data Mapped Succesfully
29/03/2019 19:21:22,1.22,2.69,24.54,STATUS = Data Mapped Succesfully
29/03/2019 19:21:23,0.00,7.82,24.27,STATUS = Data Mapped Succesfully
29/03/2019 19:21:25,0.98,1.96,24.24,STATUS = Data Mapped Succesfully
29/03/2019 19:21:26,0.98,1.47,24.01,STATUS = Data Mapped Succesfully
29/03/2019 19:21:27,1.22,1.71,24.22,STATUS = Data Mapped Succesfully
29/03/2019 19:21:29,0.98,13.93,24.27,STATUS = Data Mapped Succesfully
29/03/2019 19:21:30,0.98,1.96,24.36,STATUS = Data Mapped Succesfully
29/03/2019 19:21:31,0.98,1.96,24.33,STATUS = Data Mapped Succesfully
