Date & Time,Battery Voltage(V),Right Current (A),Left Current (A),Status Message
03/04/2019 17:52:33,0.00,0.00,25.36,WARNING = Controller is resseting. Expect abnormal behaviour.
03/04/2019 17:52:43,0.00,0.24,25.27,STATUS = Data Mapped Succesfully
03/04/2019 17:52:48,0.00,0.00,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:52:54,0.00,0.24,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:53:00,0.00,2.93,25.62,STATUS = Data Mapped Succesfully
03/04/2019 17:53:06,0.00,0.24,25.53,STATUS = Data Mapped Succesfully
03/04/2019 17:53:12,0.00,2.69,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:53:17,0.00,0.24,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:53:23,0.00,3.42,25.68,STATUS = Data Mapped Succesfully
03/04/2019 17:53:29,0.00,0.24,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:53:35,0.00,0.24,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:53:40,0.00,2.44,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:53:46,0.00,3.18,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:53:52,0.00,0.00,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:53:58,0.00,0.24,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:54:04,0.00,0.00,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:54:10,0.00,0.00,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:54:16,0.00,0.24,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:54:21,0.00,0.00,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:54:27,0.00,0.73,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:54:33,0.00,0.00,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:54:39,0.00,0.49,25.56,STATUS = Data Mapped Succesfully
03/04/2019 17:54:44,0.00,0.24,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:54:50,0.00,2.69,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:54:56,0.00,2.44,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:55:02,0.00,0.24,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:55:07,0.00,0.00,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:55:13,0.00,2.69,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:55:19,0.00,0.24,25.56,STATUS = Data Mapped Succesfully
03/04/2019 17:55:25,0.00,0.24,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:55:31,0.00,2.69,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:55:36,0.00,0.00,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:55:42,0.00,0.24,25.30,STATUS = Data Mapped Succesfully
03/04/2019 17:55:48,0.00,2.93,25.33,STATUS = Data Mapped Succesfully
03/04/2019 17:55:54,0.00,2.93,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:55:59,0.00,3.18,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:56:05,0.00,0.00,25.56,STATUS = Data Mapped Succesfully
03/04/2019 17:56:11,0.00,2.69,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:56:17,0.00,0.24,25.33,STATUS = Data Mapped Succesfully
03/04/2019 17:56:22,0.00,2.44,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:56:28,0.00,0.49,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:56:34,0.00,0.24,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:56:40,0.00,2.93,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:56:45,0.00,2.93,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:56:51,0.00,0.00,25.27,STATUS = Data Mapped Succesfully
03/04/2019 17:56:57,0.00,0.24,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:57:03,0.00,0.73,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:57:09,0.00,2.69,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:57:15,0.00,2.20,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:57:21,0.00,3.18,25.36,STATUS = Data Mapped Succesfully
03/04/2019 17:57:26,0.00,0.24,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:57:32,0.00,0.24,25.48,STATUS = Data Mapped Succesfully
03/04/2019 17:57:38,0.00,2.69,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:57:44,0.00,1.47,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:57:50,0.00,0.00,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:57:56,0.00,0.24,25.59,STATUS = Data Mapped Succesfully
03/04/2019 17:58:02,0.00,2.93,25.30,STATUS = Data Mapped Succesfully
03/04/2019 17:58:08,0.00,3.18,25.33,STATUS = Data Mapped Succesfully
03/04/2019 17:58:13,0.00,0.00,25.42,STATUS = Data Mapped Succesfully
03/04/2019 17:58:19,0.00,0.24,25.62,STATUS = Data Mapped Succesfully
03/04/2019 17:58:25,0.00,0.00,25.36,STATUS = Data Mapped Succesfully
03/04/2019 17:58:31,0.00,0.00,25.30,STATUS = Data Mapped Succesfully
03/04/2019 17:58:37,0.00,0.00,25.45,STATUS = Data Mapped Succesfully
03/04/2019 17:58:43,0.00,2.69,25.51,STATUS = Data Mapped Succesfully
03/04/2019 17:58:49,0.00,0.00,25.39,STATUS = Data Mapped Succesfully
03/04/2019 17:58:51,0.00,0.24,25.59,STATUS = Data Mapped Succesfully
03/04/2019 17:58:51,0.00,0.00,25.71,STATUS = Data Mapped Succesfully
03/04/2019 17:58:51,0.00,3.18,25.74,STATUS = Data Mapped Succesfully
03/04/2019 17:58:52,0.00,2.44,25.65,STATUS = Data Mapped Succesfully
03/04/2019 17:58:52,0.00,2.93,25.53,STATUS = Data Mapped Succesfully
03/04/2019 17:58:52,0.49,0.00,25.56,STATUS = Data Mapped Succesfully
03/04/2019 17:58:53,0.49,1.71,24.65,STATUS = Data Mapped Succesfully
03/04/2019 17:58:53,0.98,1.96,24.71,STATUS = Data Mapped Succesfully
03/04/2019 17:58:53,0.73,1.96,24.63,STATUS = Data Mapped Succesfully
03/04/2019 17:58:54,0.73,1.96,24.71,STATUS = Data Mapped Succesfully
03/04/2019 17:58:54,0.73,1.71,24.45,STATUS = Data Mapped Succesfully
03/04/2019 17:58:54,1.71,1.96,24.51,STATUS = Data Mapped Succesfully
03/04/2019 17:58:55,0.49,1.22,24.48,STATUS = Data Mapped Succesfully
03/04/2019 17:58:55,0.73,2.20,24.71,STATUS = Data Mapped Succesfully
03/04/2019 17:58:55,5.13,11.00,24.48,STATUS = Data Mapped Succesfully
03/04/2019 17:58:56,0.00,16.37,24.27,STATUS = Data Mapped Succesfully
03/04/2019 17:58:56,1.22,20.77,24.51,STATUS = Data Mapped Succesfully
03/04/2019 17:58:56,0.00,2.20,24.54,STATUS = Data Mapped Succesfully
03/04/2019 17:58:57,0.73,15.88,24.57,STATUS = Data Mapped Succesfully
03/04/2019 17:58:57,0.49,1.22,24.68,STATUS = Data Mapped Succesfully
03/04/2019 17:58:57,0.73,1.71,24.86,STATUS = Data Mapped Succesfully
03/04/2019 17:58:57,0.00,1.96,24.45,STATUS = Data Mapped Succesfully
03/04/2019 17:58:58,0.98,1.96,24.54,STATUS = Data Mapped Succesfully
03/04/2019 17:58:58,0.00,5.13,24.63,STATUS = Data Mapped Succesfully
03/04/2019 17:58:58,0.24,1.96,24.54,STATUS = Data Mapped Succesfully
03/04/2019 17:58:59,0.73,1.71,24.54,STATUS = Data Mapped Succesfully
03/04/2019 17:58:59,0.24,1.22,24.57,STATUS = Data Mapped Succesfully
03/04/2019 17:58:59,0.73,0.00,24.30,STATUS = Data Mapped Succesfully
03/04/2019 17:58:59,0.98,1.71,24.48,STATUS = Data Mapped Succesfully
03/04/2019 17:59:00,1.47,2.20,24.57,STATUS = Data Mapped Succesfully
03/04/2019 17:59:00,0.98,1.47,24.42,STATUS = Data Mapped Succesfully
03/04/2019 17:59:00,0.73,14.17,24.27,STATUS = Data Mapped Succesfully
03/04/2019 17:59:03,1.96,1.96,24.80,STATUS = Data Mapped Succesfully
03/04/2019 17:59:03,0.98,1.47,24.39,STATUS = Data Mapped Succesfully
03/04/2019 17:59:03,0.00,0.73,24.13, to map sent data to output. Check range of sent data.
