Date & Time,Battery Voltage(V),Right Current (A),Left Current (A),Status Message
07/02/2019 14:32:14,data.
07/02/2019 14:32:29,-0.73,0.73,25.39,STATUS = Data Mapped Succesfully
07/02/2019 14:32:30,0.73,1.47,24.60,STATUS = Data Mapped Succesfully
07/02/2019 14:32:31,0.24,1.47,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:32:32,0.49,1.47,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:32:34,0.49,2.93,24.60,STATUS = Data Mapped Succesfully
07/02/2019 14:32:34,0.24,1.22,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:32:35,0.24,1.47,24.48,STATUS = Data Mapped Succesfully
07/02/2019 14:32:36,0.00,1.47,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:32:37,0.00,1.47,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:32:38,0.49,0.98,24.60,STATUS = Data Mapped Succesfully
07/02/2019 14:32:39,0.24,0.49,24.33,STATUS = Data Mapped Succesfully
07/02/2019 14:32:40,0.00,0.73,24.36,STATUS = Data Mapped Succesfully
07/02/2019 14:32:41,-0.24,1.22,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:32:41,0.24,0.98,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:32:42,0.00,1.22,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:32:42,0.49,1.71,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:32:43,-0.73,1.47,25.36,STATUS = Data Mapped Succesfully
07/02/2019 14:32:44,0.49,1.47,24.57,STATUS = Data Mapped Succesfully
07/02/2019 14:32:45,0.00,1.22,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:32:45,0.73,1.22,24.48,STATUS = Data Mapped Succesfully
07/02/2019 14:32:46,0.24,1.22,24.39,STATUS = Data Mapped Succesfully
07/02/2019 14:32:47,0.49,0.73,24.45,STATUS = Data Mapped Succesfully
07/02/2019 14:32:47,0.24,1.22,24.51,STATUS = Data Mapped Succesfully
07/02/2019 14:32:48,0.24,0.98,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:32:49,0.24,0.73,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:32:50,0.24,0.98,24.63,STATUS = Data Mapped Succesfully
07/02/2019 14:32:51,0.49,1.22,24.57,STATUS = Data Mapped Succesfully
07/02/2019 14:32:52,0.49,1.22,24.45,STATUS = Data Mapped Succesfully
07/02/2019 14:32:52,0.24,1.22,24.57,STATUS = Data Mapped Succesfully
07/02/2019 14:32:53,-0.73,1.71,25.33,STATUS = Data Mapped Succesfully
07/02/2019 14:32:53,7.09,1.22,24.42,STATUS = Data Mapped Succesfully
07/02/2019 14:32:54,10.75,7.33,24.45,STATUS = Data Mapped Succesfully
07/02/2019 14:32:54,0.24,1.47,24.54,STATUS = Data Mapped Succesfully
07/02/2019 14:32:55,0.73,1.96,24.45,STATUS = Data Mapped Succesfully
