Date and Time,Speed,Angle,Command Message
08/02/2019 16:49:06,0,0,RESET
08/02/2019 17:16:04,1,1,RUN
08/02/2019 17:16:04,0,1,RUN
08/02/2019 17:16:06,0,0,RUN
08/02/2019 17:16:06,0,-18,RUN
08/02/2019 17:16:07,0,-45,RUN
08/02/2019 17:16:07,0,-73,RUN
08/02/2019 17:16:09,1,-73,RUN
08/02/2019 17:16:10,2,-73,RUN
08/02/2019 17:16:11,3,-75,RUN
08/02/2019 17:16:12,4,-75,RUN
08/02/2019 17:16:12,4,-29,RUN
08/02/2019 17:16:13,0,-2,RUN
08/02/2019 17:16:13,-1,-2,RUN
08/02/2019 17:16:14,-2,-2,RUN
08/02/2019 17:16:14,-6,3,RUN
08/02/2019 17:16:16,-6,4,RUN
08/02/2019 17:16:16,-11,15,RUN
08/02/2019 17:16:17,-11,16,RUN
08/02/2019 17:16:17,-12,16,RUN
08/02/2019 17:16:21,-12,14,RUN
08/02/2019 17:16:21,-2,2,RUN
08/02/2019 17:16:22,5,2,RUN
08/02/2019 17:16:22,5,-1,RUN
08/02/2019 17:16:23,6,-28,RUN
08/02/2019 17:16:23,7,-60,RUN
08/02/2019 17:16:24,8,-60,RUN
08/02/2019 17:16:24,8,-60,RUN
08/02/2019 17:16:24,4,-60,SEND
08/02/2019 17:16:25,4,-60,RUN
08/02/2019 17:16:25,3,-64,RUN
08/02/2019 17:16:25,3,-60,SEND
08/02/2019 17:16:26,3,-83,RUN
08/02/2019 17:16:26,3,-83,RUN
08/02/2019 17:16:27,3,-83,RUN
08/02/2019 17:16:28,3,-83,RUN
08/02/2019 17:16:28,3,-10,RUN
08/02/2019 17:16:29,3,-10,RUN
08/02/2019 17:16:29,3,-10,RUN
08/02/2019 17:16:30,3,-10,RUN
08/02/2019 17:16:31,3,-10,RUN
08/02/2019 17:16:31,3,-10,RUN
08/02/2019 17:16:32,3,-10,RUN
08/02/2019 17:16:33,3,-10,RUN
08/02/2019 17:16:33,7,-10,RUN
08/02/2019 17:16:34,3,-10,SEND
08/02/2019 17:16:34,3,-10,RUN
08/02/2019 17:16:34,3,-18,RUN
08/02/2019 17:16:35,3,-18,RUN
08/02/2019 17:16:36,3,-18,RUN
08/02/2019 17:16:36,3,-18,RUN
08/02/2019 17:16:37,3,-18,RUN
08/02/2019 17:16:38,3,-46,RUN
08/02/2019 17:16:38,-5,14,RUN
08/02/2019 17:16:38,-6,0,RUN
08/02/2019 17:16:39,-9,14,RUN
08/02/2019 17:16:39,-9,19,RUN
08/02/2019 17:16:40,-9,20,RUN
08/02/2019 17:16:40,-10,25,RUN
08/02/2019 17:16:41,-10,27,RUN
08/02/2019 17:16:41,-10,33,RUN
08/02/2019 17:16:42,-11,35,RUN
08/02/2019 17:16:42,-11,43,RUN
