X,Y,Red,Green,Blue
0,0,0,0,0
0,1,255,255,255
0,2,255,255,255
0,3,255,0,0
0,4,255,0,0
0,5,254,255,255
0,6,254,255,255
0,7,0,0,0
0,8,255,255,255
0,9,255,0,0
0,10,255,255,255
0,11,0,0,0
0,12,0,0,0
0,13,0,0,0
0,14,255,0,0
0,15,255,255,255
0,16,254,255,255
0,17,254,255,255
0,18,255,255,255
0,19,255,0,0
0,20,254,255,255
0,21,255,0,0
0,22,0,0,0
0,23,254,255,255
0,24,255,0,0
0,25,0,0,0
0,26,254,255,255
0,27,254,255,255
0,28,255,255,255
0,29,0,0,0
0,30,254,255,255
0,31,255,255,255
0,32,255,255,255
0,33,255,255,255
0,34,0,0,0
0,35,255,0,0
0,36,0,0,0
0,37,255,0,0
0,38,255,255,255
0,39,255,0,0
0,40,255,255,255
0,41,255,0,0
0,42,0,0,0
0,43,255,255,255
0,44,255,255,255
0,45,255,0,0
0,46,254,255,255
0,47,0,0,0
0,48,0,0,0
0,49,0,0,0
0,50,0,0,0
0,51,255,0,0
0,52,255,0,0
0,53,0,0,0
0,54,255,255,255
0,55,0,0,0
0,56,0,0,0
0,57,254,255,255
0,58,0,0,0
0,59,0,0,0
0,60,255,0,0
0,61,0,0,0
0,62,0,0,0
0,63,254,255,255
0,64,254,255,255
0,65,255,0,0
0,66,255,0,0
0,67,254,255,255
0,68,254,255,255
0,69,0,0,0
0,70,255,255,255
0,71,255,255,255
0,72,255,0,0
0,73,254,255,255
0,74,255,255,255
0,75,0,0,0
0,76,254,255,255
0,77,255,255,255
0,78,0,0,0
0,79,255,255,255
0,80,254,255,255
0,81,0,0,0
0,82,255,255,255
0,83,255,255,255
0,84,255,255,255
0,85,255,0,0
0,86,254,255,255
0,87,0,0,0
0,88,254,255,255
0,89,254,255,255
0,90,254,255,255
0,91,254,255,255
0,92,255,255,255
0,93,254,255,255
0,94,255,255,255
0,95,0,0,0
0,96,254,255,255
0,97,254,255,255
0,98,255,0,0
0,99,0,0,0
0,100,0,0,0
0,101,255,255,255
0,102,254,255,255
0,103,0,0,0
0,104,254,255,255
0,105,255,0,0
0,106,255,255,255
0,107,254,255,255
0,108,255,0,0
0,109,0,0,0
0,110,255,255,255
0,111,0,0,0
0,112,255,255,255
0,113,0,0,0
0,114,255,0,0
0,115,255,0,0
0,116,255,255,255
0,117,255,0,0
0,118,254,255,255
