X,Y,Red,Green,Blue
0,0,0,0,0
0,1,254,255,255
0,2,255,0,0
0,3,255,255,255
0,4,0,0,0
0,5,255,255,255
0,6,255,255,255
0,7,255,0,0
0,8,254,255,255
0,9,0,0,0
0,10,0,0,0
0,11,0,0,0
0,12,0,0,0
0,13,254,255,255
0,14,0,0,0
0,15,0,0,0
0,16,254,255,255
0,17,255,255,255
0,18,0,0,0
0,19,255,255,255
0,20,255,0,0
0,21,255,255,255
0,22,0,0,0
0,23,255,255,255
0,24,255,255,255
0,25,254,255,255
0,26,0,0,0
0,27,0,0,0
0,28,254,255,255
0,29,255,255,255
0,30,255,255,255
0,31,0,0,0
0,32,255,255,255
0,33,0,0,0
0,34,255,0,0
0,35,0,0,0
0,36,254,255,255
0,37,255,255,255
0,38,0,0,0
0,39,255,255,255
0,40,0,0,0
0,41,254,255,255
0,42,255,0,0
0,43,254,255,255
0,44,254,255,255
0,45,255,255,255
0,46,255,0,0
0,47,0,0,0
0,48,254,255,255
0,49,0,0,0
0,50,255,255,255
0,51,254,255,255
0,52,0,0,0
0,53,254,255,255
0,54,254,255,255
0,55,254,255,255
0,56,0,0,0
0,57,255,0,0
0,58,0,0,0
0,59,255,0,0
0,60,255,0,0
0,61,254,255,255
0,62,255,0,0
0,63,0,0,0
0,64,255,0,0
0,65,255,0,0
0,66,0,0,0
0,67,255,0,0
0,68,255,255,255
0,69,255,255,255
0,70,254,255,255
0,71,0,0,0
0,72,255,255,255
0,73,0,0,0
0,74,0,0,0
0,75,0,0,0
0,76,0,0,0
0,77,0,0,0
0,78,0,0,0
0,79,255,0,0
0,80,255,255,255
0,81,255,255,255
0,82,0,0,0
0,83,0,0,0
0,84,255,0,0
0,85,254,255,255
0,86,255,255,255
0,87,255,0,0
0,88,0,0,0
0,89,255,0,0
0,90,0,0,0
0,91,255,0,0
0,92,254,255,255
0,93,255,255,255
0,94,255,255,255
0,95,254,255,255
0,96,0,0,0
0,97,254,255,255
0,98,255,0,0
0,99,254,255,255
0,100,0,0,0
0,101,254,255,255
0,102,255,255,255
0,103,255,255,255
0,104,255,255,255
0,105,0,0,0
0,106,254,255,255
0,107,255,255,255
0,108,0,0,0
0,109,255,0,0
0,110,0,0,0
0,111,254,255,255
0,112,0,0,0
0,113,254,255,255
0,114,255,255,255
0,115,254,255,255
0,116,0,0,0
0,117,0,0,0
0,118,255,255,255
0,119,255,255,255
0,120,255,255,255
0,121,0,0,0
0,122,0,0,0
0,123,0,0,0
0,124,255,0,0
0,125,254,255,255
0,126,255,0,0
0,127,255,255,255
0,128,254,255,255
0,129,254,255,255
0,130,0,0,0
0,131,255,0,0
0,132,255,0,0
0,133,255,0,0
0,134,0,0,0
0,135,255,255,255
0,136,255,255,255
0,137,255,255,255
0,138,255,255,255
0,139,255,0,0
0,140,0,0,0
0,141,254,255,255
0,142,255,0,0
0,143,254,255,255
0,144,255,255,255
0,145,255,255,255
0,146,255,0,0
0,147,254,255,255
