X,Y,Z
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,220
0,1,222
0,2,223
0,3,224
0,4,216
0,5,215
0,6,224
0,7,226
0,8,226
0,9,223
0,10,222
0,11,228
0,12,239
0,13,243
0,14,231
0,15,236
0,16,241
0,17,244
0,18,245
0,19,246
0,20,248
0,21,248
0,22,250
0,23,252
0,24,253
1,0,223
1,1,222
1,2,223
1,3,219
1,4,219
1,5,218
1,6,217
1,7,216
1,8,223
1,9,230
1,10,222
1,11,221
1,12,223
1,13,234
1,14,231
1,15,234
1,16,240
1,17,243
1,18,245
1,19,247
1,20,248
1,21,249
1,22,250
1,23,252
1,24,252
2,0,223
2,1,228
2,2,238
2,3,217
2,4,217
2,5,216
2,6,215
2,7,217
2,8,218
2,9,226
2,10,237
2,11,218
2,12,218
2,13,222
2,14,231
2,15,237
2,16,236
2,17,243
2,18,245
2,19,245
2,20,247
2,21,249
2,22,250
2,23,252
2,24,252
3,0,223
3,1,224
3,2,226
3,3,231
3,4,216
3,5,222
3,6,224
3,7,224
3,8,230
3,9,226
3,10,232
3,11,237
3,12,218
3,13,217
3,14,220
3,15,228
3,16,238
3,17,244
3,18,245
3,19,247
3,20,245
3,21,241
3,22,230
3,23,245
3,24,248
4,0,223
4,1,223
4,2,224
4,3,220
4,4,217
4,5,216
4,6,220
4,7,223
4,8,225
4,9,225
4,10,229
4,11,230
4,12,230
4,13,221
4,14,225
4,15,224
4,16,231
4,17,232
4,18,245
4,19,245
4,20,198
4,21,199
4,22,120
4,23,136
4,24,147
5,0,221
5,1,221
5,2,223
5,3,218
5,4,215
5,5,215
5,6,221
5,7,223
5,8,224
5,9,226
5,10,226
5,11,229
5,12,228
5,13,230
5,14,221
5,15,223
5,16,231
5,17,144
5,18,246
5,19,223
5,20,236
5,21,132
5,22,121
5,23,118
5,24,125
6,0,223
6,1,218
6,2,215
6,3,217
6,4,216
6,5,217
6,6,223
6,7,223
6,8,223
6,9,223
6,10,224
6,11,224
6,12,228
6,13,228
6,14,219
6,15,221
6,16,170
6,17,132
6,18,191
6,19,142
6,20,145
6,21,153
6,22,148
6,23,119
6,24,114
7,0,221
7,1,221
7,2,220
7,3,218
7,4,219
7,5,217
7,6,218
7,7,221
7,8,223
7,9,223
7,10,223
7,11,223
7,12,226
7,13,227
7,14,221
7,15,223
7,16,106
7,17,119
7,18,177
7,19,160
7,20,169
7,21,148
7,22,154
7,23,113
7,24,133
8,0,218
8,1,219
8,2,220
8,3,219
8,4,219
8,5,219
8,6,216
8,7,216
8,8,222
8,9,223
8,10,223
8,11,223
8,12,226
8,13,225
8,14,221
8,15,208
8,16,108
8,17,119
8,18,161
8,19,142
8,20,126
8,21,141
8,22,114
8,23,145
8,24,114
9,0,216
9,1,216
9,2,217
9,3,217
9,4,217
9,5,219
9,6,219
9,7,219
9,8,220
9,9,222
9,10,222
9,11,223
9,12,180
9,13,222
9,14,220
9,15,101
9,16,91
9,17,94
9,18,121
9,19,129
9,20,110
9,21,135
9,22,143
9,23,117
9,24,115
10,0,217
10,1,217
10,2,216
10,3,217
10,4,217
10,5,217
10,6,219
10,7,219
10,8,219
10,9,220
10,10,222
10,11,223
10,12,165
10,13,166
10,14,149
10,15,60
10,16,78
10,17,100
10,18,88
10,19,94
10,20,117
10,21,106
10,22,98
10,23,101
10,24,114
11,0,217
11,1,217
11,2,216
11,3,217
11,4,219
11,5,185
11,6,179
11,7,177
11,8,173
11,9,178
11,10,198
11,11,205
11,12,162
11,13,101
11,14,112
11,15,66
11,16,86
11,17,113
11,18,89
11,19,81
11,20,135
11,21,110
11,22,95
11,23,97
11,24,117
12,0,152
12,1,145
12,2,144
12,3,146
12,4,143
12,5,141
12,6,143
12,7,147
12,8,154
12,9,169
12,10,100
12,11,70
12,12,99
12,13,97
12,14,95
12,15,76
12,16,82
12,17,114
12,18,68
12,19,79
12,20,113
12,21,97
12,22,86
12,23,89
12,24,111
13,0,122
13,1,111
13,2,114
13,3,121
13,4,121
13,5,120
13,6,120
13,7,118
13,8,123
13,9,137
13,10,110
13,11,102
13,12,88
13,13,84
13,14,88
13,15,83
13,16,56
13,17,72
13,18,65
13,19,77
13,20,87
13,21,94
13,22,96
13,23,93
13,24,94
14,0,139
14,1,149
14,2,167
14,3,181
14,4,166
14,5,132
14,6,132
14,7,135
14,8,176
14,9,124
14,10,110
14,11,111
14,12,95
14,13,86
14,14,94
14,15,63
14,16,89
14,17,71
14,18,66
14,19,62
14,20,85
14,21,100
14,22,110
14,23,98
14,24,86
15,0,163
15,1,160
15,2,162
15,3,164
15,4,126
15,5,183
15,6,166
15,7,169
15,8,176
15,9,145
15,10,115
15,11,109
15,12,88
15,13,122
15,14,61
15,15,105
15,16,83
15,17,78
15,18,75
15,19,76
15,20,91
15,21,98
15,22,103
15,23,101
15,24,96
