Hieght(Pixels),Width(Pixels),Processing Time(S)
333,500,0.23186826705932617
333,500,0.0009984970092773438
333,500,0.0
333,500,0.00099945068359375
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009975433349609375
333,500,0.003004789352416992
333,500,0.00099945068359375
333,500,0.0
333,500,0.0010004043579101562
333,500,0.0
333,500,0.0
333,500,0.0009992122650146484
333,500,0.0
333,500,0.0
333,500,0.00099945068359375
333,500,0.0
333,500,0.0
333,500,0.00099945068359375
333,500,0.0
333,500,0.0
333,500,0.0009989738464355469
333,500,0.0
333,500,0.0010042190551757812
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009989738464355469
333,500,0.0
333,500,0.0009982585906982422
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009946823120117188
333,500,0.0009989738464355469
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009987354278564453
333,500,0.0009982585906982422
333,500,0.0009987354278564453
333,500,0.0009992122650146484
333,500,0.0
333,500,0.0009996891021728516
333,500,0.0
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009987354278564453
333,500,0.0009989738464355469
333,500,0.0
333,500,0.0
333,500,0.0010001659393310547
333,500,0.0
333,500,0.0009965896606445312
333,500,0.00099945068359375
333,500,0.0
333,500,0.0009980201721191406
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.00099945068359375
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009982585906982422
333,500,0.0009984970092773438
333,500,0.0009989738464355469
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0009989738464355469
333,500,0.0
333,500,0.000995635986328125
333,500,0.0
333,500,0.0009989738464355469
333,500,0.0
333,500,0.0
333,500,0.00099945068359375
333,500,0.0009987354278564453
333,500,0.0009989738464355469
333,500,0.0010004043579101562
333,500,0.0010128021240234375
333,500,0.0009992122650146484
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009984970092773438
333,500,0.0009989738464355469
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009949207305908203
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.000997781753540039
333,500,0.0
333,500,0.0009999275207519531
333,500,0.0009984970092773438
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009982585906982422
333,500,0.0
333,500,0.0
333,500,0.00099945068359375
333,500,0.0009992122650146484
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0010001659393310547
333,500,0.0009989738464355469
333,500,0.0009980201721191406
333,500,0.0009937286376953125
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009982585906982422
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0009980201721191406
333,500,0.0
333,500,0.0009937286376953125
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.000997304916381836
333,500,0.0009987354278564453
333,500,0.0
333,500,0.0
333,500,0.0
333,500,0.0
